skill,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Cardiac Life Support Certification,0.22853723348161922,-0.02793895420645533,0.002279249939946834,-0.07356347789412086,4.2098821489005336e-05,-0.044332979642164885,0.005211273652979292,0.017017474342710753,0.01457340204339036,-0.07327447061585715
Molecular Genetics,0.0013112386845797125,0.10385285444600308,0.012899248070430804,-0.016272281237310563,0.005130978003442439,-0.04748920737572393,-0.0013920128041089953,-0.10669306706605357,0.03259144909611937,-0.0007264857442473815
Sleep Training,0.02695014124937245,0.04668692949442072,0.0061029111765847095,0.14494291273336862,-0.001279201652365919,-0.026836918689062104,0.0044920171899021175,-0.08681945763837219,-0.30394550542074933,-0.02598530971456018
School of Nursing,0.14764751792328648,-0.020375504425808648,0.0017084989754011376,-0.062464094719550084,-0.0007307115100372968,-0.05297004552386286,0.00735639355360118,0.016264885876132264,0.0022570038103367444,-0.09897610653581343
Hospital Services,0.05365490534583171,0.04579025915772246,0.006082747087413523,0.14767290276609513,0.00041082369905481235,0.00622753830931642,-0.004317233383577294,-0.06614431690587161,-0.20942124032347711,0.14287958011703056
Clinical Research Coordinator,0.030025751187123292,0.07791540496162261,0.009908558722503201,0.19438101964244206,0.0001771205371819034,-0.06672280624741479,0.007562922398547082,-0.09068678689916454,-0.3243512528365118,-0.02698310471090943
Nursing Research,0.14298750492437498,-0.012344397059089258,0.0010467805269350863,-0.019570604479901495,-0.0013610478957666256,0.049165303572906834,-0.0044110291731383885,-0.047645844850203005,0.002874671763021094,-0.06453838039381335
Clinical Trial Management,0.027159828021823002,0.09729858009295554,0.011815432206139325,0.24756312205509176,0.002719848837109244,-0.11477753932290224,0.011150732190934735,0.016432066117262716,-0.0576294925734033,-0.06788216858342672
Patient Advocacy,0.10504068978947939,-0.0014345822644053364,0.003183400605441968,-0.03063876105435212,0.001704434170328896,-0.014365546851441107,0.0014989713241329277,0.02456871253535441,0.0036281254362868732,-0.04879811135578874
Internal Medicine and Pediatrics,0.053243939328967406,0.030343385290827175,0.004542722924997139,0.10427667229606913,-0.0005889309752316894,-0.009767240757272425,-0.0009315218409494407,-0.049112854465629054,-0.16971536428620979,0.0905123102191267
Military,-0.002996291417942547,-0.0131076888779771,-0.00918235935512022,0.001349115716422987,0.4124728859996117,0.0012394882823242213,-0.007004427623418728,-0.0002209842973760144,-0.004594449819620081,-0.0031107167102696616
