skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Interactive Marketing Strategy,320,215,105,0.2979013626822731,0.2979013626822731
Food and Beverage Management,66,35,31,-0.2968034432956248,0.2968034432956248
Video Game Design,37,25,12,0.2966012139107166,0.2966012139107166
Electronic System Design,37,25,12,0.2966012139107166,0.2966012139107166
Multilevel Marketing,37,25,12,0.2966012139107166,0.2966012139107166
Time Management Training,947,502,445,-0.29595020092304125,0.29595020092304125
Technical Product Sales,32,17,15,-0.29498773694114,0.29498773694114
Facebook Ads Manager,32,17,15,-0.29498773694114,0.29498773694114
Economic Forecasting,32,17,15,-0.29498773694114,0.29498773694114
Adobe Illustrator,358,190,168,-0.29363214917106895,0.29363214917106895
Manufacturing Process Improvement,64,34,30,-0.29311595352145936,0.29311595352145936
Statistical Modeling,96,51,45,-0.2924791122326216,0.2924791122326216
Applied Mathematics,64,43,21,0.2883594090156132,0.2883594090156132
Windows Presentation Foundation,67,45,22,0.28784842280112244,0.28784842280112244
Strategic Planning Software,263,140,123,-0.2873822612396397,0.2873822612396397
SQL Lite,70,47,23,0.28738069594507465,0.28738069594507465
Global Brand Development,30,16,14,-0.2871368624654025,0.2871368624654025
Structural Bioinformatics,30,16,14,-0.2871368624654025,0.2871368624654025
Media Communications,30,16,14,-0.2871368624654025,0.2871368624654025
Family Wealth Management,76,51,25,0.286554761559902,0.286554761559902
Application-Specific Integrated Circuits,76,51,25,0.286554761559902,0.286554761559902
Reliability Testing,60,32,28,-0.28501259188432115,0.28501259188432115
Mechanical Engineering Technology,364,194,170,-0.2846517276104783,0.2846517276104783
Communications Law,449,300,149,0.281802767199113,0.281802767199113
Quantitative Data Analysis,813,434,379,-0.2810072460756463,0.2810072460756463
Data Collection Systems,43,23,20,-0.2797730589396572,0.2797730589396572
Genome Editing,159,85,74,-0.2786313433882075,0.2786313433882075
Insurance Training,86,46,40,-0.2781982554645914,0.2781982554645914
Minitab,28,15,13,-0.27819825546459054,0.27819825546459054
Ansys Icepak,28,15,13,-0.27819825546459054,0.27819825546459054
Laser Marksmanship Training Systems,28,15,13,-0.27819825546459054,0.27819825546459054
Kaizen Leadership,172,92,80,-0.2773971338515464,0.2773971338515464
Audio Editing Software,71,38,33,-0.27723579148269106,0.27723579148269106
SQL Database Design,71,38,33,-0.27723579148269106,0.27723579148269106
Deep Learning,216,144,72,0.27334435174645,0.27334435174645
Marketing Data Analysis,235,126,109,-0.2720308350343883,0.2720308350343883
Adobe Photoshop,686,368,318,-0.27053035732823494,0.27053035732823494
Software Project Management,26,14,12,-0.267928588827135,0.267928588827135
Digital Signal Processing,26,14,12,-0.267928588827135,0.267928588827135
FastAPI,26,14,12,-0.267928588827135,0.267928588827135
Social Media Integration,78,52,26,0.267319842659993,0.267319842659993
Design for Six Sigma,93,50,43,-0.2671361957587317,0.2671361957587317
Large Language Models,145,78,67,-0.2653775670355296,0.2653775670355296
Tableau Online,301,200,101,0.2644068543193736,0.2644068543193736
Product Leadership,637,423,214,0.2638951817786297,0.2638951817786297
Technical Accounting Research,164,109,55,0.2631929345587585,0.2631929345587585
Agile Web Development,54,36,18,0.2631929345587585,0.2631929345587585
