skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Technical Nursing Skills,123,0,123,-5.925736930573386,5.925736930573386
Patient Family,114,0,114,-5.8500705974996485,5.8500705974996485
Acute Care RN,111,0,111,-5.823520365405527,5.823520365405527
Public Health Interventions,108,0,108,-5.796245947485868,5.796245947485868
Social Statistics,78,0,78,-5.472594399293717,5.472594399293717
Healthcare Delivery Process,212,1,211,-5.365108484323576,5.365108484323576
Hospital Policy,179,1,178,-5.195472087056936,5.195472087056936
Biomedical Science,50,0,50,-5.031469110786668,5.031469110786668
Pediatric Intensive Care Unit,49,0,49,-5.011468444079998,5.011468444079998
Intensive Care Medicine,48,0,48,-4.991059572448791,4.991059572448791
Training Package,48,0,48,-4.991059572448791,4.991059572448791
Inpatient Obstetric Nursing,145,1,144,-4.98416299338973,4.98416299338973
Critical Care Nursing,134,1,133,-4.904984963677547,4.904984963677547
Healthcare Procedures,43,0,43,-4.882256712599992,4.882256712599992
Medical Writing,43,0,43,-4.882256712599992,4.882256712599992
Construction Management Software,42,0,42,-4.858999850435725,4.858999850435725
Internal Medicine and Pediatrics,41,0,41,-4.835189201742007,4.835189201742007
Epic EMR,191,2,189,-4.7444468865937335,4.7444468865937335
Public Health Nursing,112,1,111,-4.7249080767374165,4.7249080767374165
Clinical Education,33,0,33,-4.621041213336375,4.621041213336375
Activity Program Development,33,0,33,-4.621041213336375,4.621041213336375
Patient Safety Standards,169,2,167,-4.621041213336374,4.621041213336374
Clinical Research Associates,221,3,218,-4.550371639985684,4.550371639985684
Basic Life Support Certification,211,3,208,-4.503524666688896,4.503524666688896
Institutional Review Board Irb,29,0,29,-4.493886037851128,4.493886037851128
Phases of Clinical Research,300,5,295,-4.4002693385531355,4.4002693385531355
Comparative Law,26,0,26,-4.386640507497531,4.386640507497531
Sleep Medicine,26,0,26,-4.386640507497531,4.386640507497531
Acute Patient Care,26,0,26,-4.386640507497531,4.386640507497531
Cardiac Life Support Certification,141,3,138,-4.094455951077433,4.094455951077433
School of Nursing,56,1,55,-4.0272665065896325,4.0272665065896325
Molecular Genetics,55,1,54,-4.009084187506441,4.009084187506441
Sleep Training,54,1,53,-3.9905651397392043,3.9905651397392043
Clinical Leadership,290,8,282,-3.919960981035633,3.919960981035633
Hospital Services,84,2,82,-3.9128561554118884,3.9128561554118884
Clinical Research Coordinator,83,2,81,-3.9006608823180695,3.9006608823180695
Military,49,1,48,-3.8924472837806805,3.8924472837806805
Patient Safety,82,2,80,-3.8883150464957703,3.8883150464957703
Patient Advocacy,48,1,47,-3.8716131968778384,3.8716131968778384
Hospital Settings,113,3,110,-3.868601146407847,3.868601146407847
Nursing Research,112,3,109,-3.859510174706595,3.859510174706595
Clinical Trial Management,106,3,103,-3.8031572381554635,3.8031572381554635
Science Communication,153,5,148,-3.712185459949737,3.712185459949737
Pediatric Emergency Medicine,38,1,37,-3.6352244188136087,3.6352244188136087
Patient Communications,90,3,87,-3.6352244188136087,3.6352244188136087
Cancer Research,140,5,135,-3.620572142026738,3.620572142026738
HIPAA,110,4,106,-3.580416182318614,3.580416182318614
Neuro ICU,36,1,35,-3.580416182318613,3.580416182318613
Clinical Practice,34,1,33,-3.5224289246682643,3.5224289246682643
Malpractice Litigation,34,1,33,-3.5224289246682643,3.5224289246682643
Custom Backend,25,25,0,3.5154770387789167,3.5154770387789167
Science Literacy,33,1,32,-3.4921235751729354,3.4921235751729354
Molecular Biology,533,24,509,-3.4511053290575067,3.4511053290575067
Natural Science,53,2,51,-3.441639669740943,3.441639669740943
Laboratory Instrumentation,31,1,30,-3.428610169450609,3.428610169450609
Medical Terminology,93,4,89,-3.4065098224499435,3.4065098224499435
Geotechnical Engineering,30,1,29,-3.3952737491830174,3.3952737491830174
Cellular Neuroscience,30,1,29,-3.3952737491830174,3.3952737491830174
Biological Science,30,1,29,-3.3952737491830174,3.3952737491830174
Pharmaceutical Science,50,2,48,-3.38162166001469,3.38162166001469
Behavioral Healthcare,49,2,47,-3.360787573111848,3.360787573111848
Aviation Operations,49,2,47,-3.360787573111848,3.360787573111848
International Arbitration,29,1,28,-3.360787573111848,3.360787573111848
Phlebotomy,29,1,28,-3.360787573111848,3.360787573111848
Opinion Writing,29,1,28,-3.360787573111848,3.360787573111848
Healthcare Management,364,18,346,-3.346460680491087,3.346460680491087
Family Mediation,67,3,64,-3.330250849251766,3.330250849251766
Oncology Nursing,47,2,45,-3.317770188028157,3.317770188028157
Program Evaluation,47,2,45,-3.317770188028157,3.317770188028157
Water Engineering,27,1,26,-3.28802821882942,3.28802821882942
Vital Signs,27,1,26,-3.28802821882942,3.28802821882942
Clinical Research,27,1,26,-3.28802821882942,3.28802821882942
CPR Certified,232,12,220,-3.2865176445240527,3.2865176445240527
Technical Research,82,4,78,-3.275369821957497,3.275369821957497
Fluorescence Microscopy,82,4,78,-3.275369821957497,3.275369821957497
Planetary Science,280,15,265,-3.2571234107022007,3.2571234107022007
Litigation Support,26,1,25,-3.249561938001624,3.249561938001624
Adherent Cell Culture,432,24,408,-3.2301673906947848,3.2301673906947848
Medical Communications,25,1,24,-3.2095566033879246,3.2095566033879246
Transmission Electron Microscopy,25,1,24,-3.2095566033879246,3.2095566033879246
Applied Science,197,11,186,-3.202432797660074,3.202432797660074
Electron Microscopy,42,2,40,-3.2013598361837463,3.2013598361837463
Biophysical Chemistry,41,2,39,-3.1763585339783287,3.1763585339783287
Biochemical Genetics,90,5,85,-3.1601168776496973,3.1601168776496973
Psychological Research,73,4,69,-3.153597949739881,3.153597949739881
Chemistry Teaching,71,4,67,-3.124398795047618,3.124398795047618
Life Science,433,30,403,-2.9987983980420454,2.9987983980420454
Trial Practice,105,7,98,-2.991502121581187,2.991502121581187
Analytical Biochemistry,468,33,435,-2.981297951406945,2.981297951406945
Collaboration in Healthcare,61,4,57,-2.9640561449724387,2.9640561449724387
Epidemiology of Cancer,45,3,42,-2.913089701380411,2.913089701380411
DNA Extraction,44,3,41,-2.8892790526866925,2.8892790526866925
Clinical Laboratory Training,313,24,289,-2.8858307734077773,2.8858307734077773
Praxis EMR,31,2,29,-2.884448125417027,2.884448125417027
Court System,82,6,76,-2.8818371578763067,2.8818371578763067
Military Tactics,56,4,52,-2.8730843667667125,2.8730843667667125
Clinical Research Protocols,56,4,52,-2.8730843667667125,2.8730843667667125
Healthcare Information Technology,194,15,179,-2.8656837779485405,2.8656837779485405
Weapons Training,68,5,63,-2.862640407605628,2.862640407605628
SPSS Statistics,105,8,97,-2.8561348084529388,2.8561348084529388
Healthcare Delivery,55,4,51,-2.8538530048388244,2.8538530048388244
Acidbase Chemistry,30,2,28,-2.8499619493458574,2.8499619493458574
Construction Coordination,29,2,27,-2.8142438667437784,2.8142438667437784
Global Health,29,2,27,-2.8142438667437784,2.8142438667437784
Eight Disciplines Problem Solving,137,11,126,-2.8142438667437784,2.8142438667437784
Emr Training,112,9,103,-2.8046284080443367,2.8046284080443367
Science Education,76,6,70,-2.80015912686204,2.80015912686204
Particle Physics,74,6,68,-2.7713801623119965,2.7713801623119965
Planning Appeals,84,7,77,-2.751723509762445,2.751723509762445
Direct Patient Care,27,2,25,-2.7387363142356334,2.7387363142356334
Research Experiments,49,4,45,-2.7299835231260383,2.7299835231260383
Officer Training,48,4,44,-2.707760386341328,2.707760386341328
Experimental Research,505,46,459,-2.7070352231478396,2.7070352231478396
Public Health Policy Analysis,37,3,34,-2.704544949487354,2.704544949487354
Local Training,37,3,34,-2.704544949487354,2.704544949487354
Government Law,37,3,34,-2.704544949487354,2.704544949487354
Collaborative Research,118,11,107,-2.651492406143921,2.651492406143921
Social,230,22,208,-2.6427723259738896,2.6427723259738896
Multi Color Flow Cytometry,45,4,41,-2.637964624405787,2.637964624405787
AWS CloudFormation,32,31,1,2.628173843778015,2.628173843778015
Healthcare Marketing,34,3,31,-2.613573171281627,2.613573171281627
Field Work,34,3,31,-2.613573171281627,2.613573171281627
Education Program Development,93,9,84,-2.601808329702041,2.601808329702041
Action Research,210,21,189,-2.592684683334272,2.592684683334272
Plant Biotechnology,224,23,201,-2.5651375541820323,2.5651375541820323
Technical Editing,42,4,38,-2.5629294384628727,2.5629294384628727
ImageJ,42,4,38,-2.5629294384628727,2.5629294384628727
Computational Statistics,558,59,499,-2.543979879482432,2.543979879482432
Professional Writing,41,4,37,-2.5366121301454996,2.5366121301454996
Protocol Buffers,29,28,1,2.5280903852210326,2.5280903852210326
Special Events,188,20,168,-2.5228594575934618,2.5228594575934618
Aggression Replacement Training,31,3,28,-2.5134897127246445,2.5134897127246445
Large Scale Distributed Systems,573,544,29,2.4991290850818326,2.4991290850818326
Social Science Research,39,4,35,-2.481803893650504,2.481803893650504
Physics Teaching,29,3,26,-2.4407303584422166,2.4407303584422166
Clinical Trial Planning,29,3,26,-2.4407303584422166,2.4407303584422166
Data Collection Protocols,46,5,41,-2.4372939289436353,2.4372939289436353
Molecular Cloning,79,9,70,-2.420669505157136,2.420669505157136
US GAAP Reporting,26,25,1,2.4168647501108076,2.4168647501108076
Strategic Fundraising,45,5,40,-2.412902475819476,2.412902475819476
Epic Systems,70,8,62,-2.411448987191493,2.411448987191493
Task Force Management,28,3,25,-2.4022640776144204,2.4022640776144204
Biomedical Engineering,28,3,25,-2.4022640776144204,2.4022640776144204
Agarose Gel Electrophoresis,36,4,32,-2.3935112865048263,2.3935112865048263
Communication Theory,60,7,53,-2.3811272273051047,2.3811272273051047
Nonprofit Operations,107,13,94,-2.362258743000721,2.362258743000721
IBM SPSS,27,3,24,-2.362258743000721,2.362258743000721
Literature Reviews,136,17,119,-2.3374640843875047,2.3374640843875047
Academic Writing,120,15,105,-2.334219522936328,2.334219522936328
Healthcare Effectiveness Data and Information Set,26,3,23,-2.3205860466001527,2.3205860466001527
Medical Device Development,26,3,23,-2.3205860466001527,2.3205860466001527
Exploratory Research,26,3,23,-2.3205860466001527,2.3205860466001527
Cell Biology,434,57,377,-2.2981342148311823,2.2981342148311823
Clinical Data Analysis,214,28,186,-2.2948757457546733,2.2948757457546733
Protein Purification,48,6,42,-2.294050492974188,2.294050492974188
Qualitative Research,402,53,349,-2.2931705017173125,2.2931705017173125
Instructional Leadership,325,43,282,-2.2872662064372653,2.2872662064372653
Molecular and Cellular Biology,25,3,22,-2.277100934660414,2.277100934660414
Amazon DynamoDB,70,66,4,2.276775956940127,2.276775956940127
Post Doctoral Training,439,59,380,-2.271858458695564,2.271858458695564
Analytical Chemistry,39,5,34,-2.2525598257442967,2.2525598257442967
Environmental Biotechnology,46,6,40,-2.2458483911563105,2.2458483911563105
Force Protection,53,7,46,-2.2408978859964543,2.2408978859964543
Westlaw,161,22,139,-2.240897885996454,2.240897885996454
Azure DevOps Services,37,35,2,2.2368933706618073,2.2368933706618073
Interior Design Project Management,45,6,39,-2.220847088950893,2.220847088950893
Cell Biology Techniques,93,13,80,-2.2019160929255417,2.2019160929255417
Clinical Research Informatics,72,10,62,-2.2001398935242866,2.2001398935242866
Panel Data Analysis,503,72,431,-2.2000295426082617,2.2000295426082617
Bioinformatics Databases,44,6,38,-2.1952046583375555,2.1952046583375555
Teacher Training,186,27,159,-2.174206511497782,2.174206511497782
Western Blotting,594,87,507,-2.1742065114977818,2.1742065114977818
Nonprofit Financial Management,138,20,118,-2.1708366683762312,2.1708366683762312
Pharmaceutical Industry,165,24,141,-2.1699751934780194,2.1699751934780194
Higher Education,63,9,54,-2.163257497008111,2.163257497008111
Paralegal,137,20,117,-2.162362041385259,2.162362041385259
Nuclear Magnetic Resonance Spectroscopy,29,4,25,-2.1509496493335147,2.1509496493335147
Education Policy Analysis,88,13,75,-2.137791564756003,2.137791564756003
Electronic Medical Record System,55,8,47,-2.1370121414897323,2.1370121414897323
Postdoctoral Research,35,5,30,-2.1293271853203484,2.1293271853203484
National Security,61,9,52,-2.1258699649364914,2.1258699649364914
Volunteer Training,54,8,46,-2.115734743042448,2.115734743042448
Scientific Presentation,54,8,46,-2.115734743042448,2.115734743042448
Protein Engineering,54,8,46,-2.115734743042448,2.115734743042448
Contract Lifecycle Management,41,6,35,-2.114079113525187,2.114079113525187
Communication Arts,28,4,24,-2.1109443147198155,2.1109443147198155
Ethical Research,28,4,24,-2.1109443147198155,2.1109443147198155
Commercial Litigation,182,28,154,-2.1066386030086033,2.1066386030086033
Defense,60,9,51,-2.1066386030086033,2.1066386030086033
Nonprofit Strategies,104,16,88,-2.0959907650527576,2.0959907650527576
Higher Education Leadership,312,49,263,-2.0884292923521803,2.0884292923521803
Agricultural Biotechnology,46,7,39,-2.0777462453102196,2.0777462453102196
Motivational Interviewing,52,8,44,-2.071771619621331,2.071771619621331
Science Management,89,14,75,-2.0663326007738583,2.0663326007738583
Providing Legal Advice,33,5,28,-2.0615045889815873,2.0615045889815873
Publications,39,6,33,-2.056091855874838,2.056091855874838
Communication Training,39,6,33,-2.056091855874838,2.056091855874838
Feature Writing,63,10,53,-2.044654990683892,2.044654990683892
Scientific Writing,257,42,215,-2.0398054275588398,2.0398054275588398
Algorithms,1579,1454,125,2.0337631254180097,2.0337631254180097
Community Leadership,50,8,42,-2.025786506379508,2.025786506379508
Social Media Content,32,5,27,-2.025786506379508,2.025786506379508
Corporate Law,178,30,148,-1.9992068685747961,1.9992068685747961
Criminal Defense Litigation,43,7,36,-1.998757833991589,1.998757833991589
Laboratory Practice,37,6,31,-1.994533962875404,1.994533962875404
Object-Oriented Design,29,27,2,1.981546678852962,1.981546678852962
Alteryx BI Visualization Solutions,29,27,2,1.981546678852962,1.981546678852962
Biostatistics,25,4,21,-1.9803241323027514,1.9803241323027514
Environmental Data Analysis,48,8,40,-1.9775844045616306,1.9775844045616306
Pre Litigation,48,8,40,-1.9775844045616306,1.9775844045616306
Polymerase Chain Reaction,1018,178,840,-1.9657569455743849,1.9657569455743849
Dog Training,36,6,30,-1.9622731006571827,1.9622731006571827
Political Communication,70,12,58,-1.959646703874963,1.959646703874963
Laboratory Safety,30,5,25,-1.9502789538713632,1.9502789538713632
Mammalian Cell Culture,349,62,287,-1.9424048974404577,1.9424048974404577
Cultural Research,41,7,34,-1.9424048974404577,1.9424048974404577
Military Leadership,91,16,75,-1.9371208692938522,1.9371208692938522
Scientific Communications,57,10,47,-1.9257030478225259,1.9257030478225259
Clinical Research Coordination,57,10,47,-1.9257030478225259,1.9257030478225259
Objective C,72,66,6,1.9090511768148088,1.9090511768148088
Computer-Assisted Legal Research,290,53,237,-1.9068345635181432,1.9068345635181432
Internal Control Evaluation,38,35,3,1.9004211340405943,1.9004211340405943
Healthcare Analytics,34,6,28,-1.8944505043184217,1.8944505043184217
Qualitative Data Analysis,340,63,277,-1.8911296212332513,1.8911296212332513
Research Presentation,168,31,137,-1.8899849652204468,1.8899849652204468
Spss Software,71,13,58,-1.8826856627388349,1.8826856627388349
Nanotechnology,28,5,23,-1.8686009228570954,1.8686009228570954
Biomedical Research,28,5,23,-1.8686009228570954,1.8686009228570954
Generally Accepted Accounting Principles,26,24,2,1.8660337917311178,1.8660337917311178
Civil Litigation,238,45,193,-1.8639137804583399,1.8639137804583399
Ultrahigh Performance Liquid Chromatography,75,14,61,-1.861237119331352,1.861237119331352
Mathematical Statistics,54,10,44,-1.8604625259541248,1.8604625259541248
Higher Education Management,33,6,27,-1.8587324217163426,1.8587324217163426
Experimental Design,59,11,48,-1.8555653565196408,1.8555653565196408
Standard Operating Procedure,53,10,43,-1.8377342748765688,1.8377342748765688
Military Training,53,10,43,-1.8377342748765688,1.8377342748765688
Sales Tax Auditing,25,23,2,1.8243610953305502,1.8243610953305502
Fellow of the Healthcare Financial Management Association,32,6,26,-1.8216911500359938,1.8216911500359938
Curriculum Development,42,8,34,-1.8172417544864512,1.8172417544864512
Parent Communication,52,10,42,-1.8144774127123018,1.8144774127123018
Project Planning,67,13,54,-1.811859610170222,1.811859610170222
Educational Research,77,15,62,-1.810675126762563,1.810675126762563
Ruby Version Management,86,78,8,1.8066838673466838,1.8066838673466838
Visual Editing,86,17,69,-1.795474465586686,1.795474465586686
AWS Lambda,125,113,12,1.7897255986677942,1.7897255986677942
Classroom Training,46,9,37,-1.7893977283152784,1.7893977283152784
Interdisciplinary Collaboration,36,7,29,-1.7858358367489178,1.7858358367489178
Geographic Information Systems,90,18,72,-1.782164423721758,1.782164423721758
Spiritual Leadership,117,24,93,-1.7556369126893685,1.7556369126893685
Teacher Leadership,165,34,131,-1.7543961215259127,1.7543961215259127
Fundraising Strategy,35,7,28,-1.7513496606777483,1.7513496606777483
Athletic Training,35,7,28,-1.7513496606777483,1.7513496606777483
Guest Lecturing,30,6,24,-1.7432195345944983,1.7432195345944983
Higher Education Policy,49,10,39,-1.7412740086890066,1.7412740086890066
Associate Project Management,139,29,110,-1.7369738515574409,1.7369738515574409
Environmental Awareness,72,15,57,-1.7272935178235116,1.7272935178235116
Current Manufacturing Practices,81,17,64,-1.7208129368176657,1.7208129368176657
Environmental Consulting,29,6,23,-1.7015468381939298,1.7015468381939298
Environmental Science,29,6,23,-1.7015468381939298,1.7015468381939298
Grant Writing,138,30,108,-1.685372083312556,1.685372083312556
Qualtrics,74,16,58,-1.6820149672766842,1.6820149672766842
European Politics,60,13,47,-1.6743886195416193,1.6743886195416193
Operational Planning,87,19,68,-1.6727678736438865,1.6727678736438865
Policy Research,55,12,43,-1.6633808877317904,1.6633808877317904
Architectural Research,50,11,39,-1.6503022304832795,1.6503022304832795
Archival Research,41,9,32,-1.646296884674605,1.646296884674605
ASP.NET Extensions for AJAX,30,27,3,1.6450744422317491,1.6450744422317491
Social Media Planning,63,14,49,-1.6441726140935238,1.6441726140935238
English as a Second Language,32,7,25,-1.6401240255675242,1.6401240255675242
Behavioral Science,32,7,25,-1.6401240255675242,1.6401240255675242
Academic English,375,85,290,-1.6394357942946596,1.6394357942946596
React JSX,100,89,11,1.6355429959661976,1.6355429959661976
Nonparametric Statistics,80,18,62,-1.6337444186034853,1.6337444186034853
Relationship Building,97,22,75,-1.6269659409900123,1.6269659409900123
Canvas LMS,36,8,28,-1.6261865177237418,1.6261865177237418
Civil Engineering Design,36,8,28,-1.6261865177237418,1.6261865177237418
External Audit,38,34,4,1.6205333333156329,1.6205333333156329
Oracle Bpel Process Management,90,80,10,1.620533333315632,1.620533333315632
Management Consultancy,55,49,6,1.613821898727645,1.613821898727645
Medical Research,27,6,21,-1.6125993521774342,1.6125993521774342
Personnel Security,87,20,67,-1.6080513056795294,1.6080513056795294
Policy Analysis,95,22,73,-1.600118690953825,1.600118690953825
Financial Accounting,54,48,6,1.593413027096438,1.593413027096438
Intelligence Analysis,39,9,30,-1.5827834789522788,1.5827834789522788
Open Programming Language,2433,2143,290,1.582243115800658,1.582243115800658
Java API for RESTful Web Services,2747,2419,328,1.5804307543633003,1.5804307543633003
Java Specification Requests,45,40,5,1.5802052879286599,1.5802052879286599
Distributed Systems,70,62,8,1.5787517993006768,1.5787517993006768
Academic Research,135,32,103,-1.5746801173151401,1.5746801173151401
Spring Framework,94,83,11,1.5661510025421972,1.5661510025421972
Validation,26,6,20,-1.5649713031881793,1.5649713031881793
Editorial Development,26,6,20,-1.5649713031881793,1.5649713031881793
ASP.NET MVC Framework,69,61,8,1.5626224173707932,1.5626224173707932
AWS Cloud Development Kit,36,32,4,1.56081409861401,1.56081409861401
Story Editing,154,37,117,-1.558445994553257,1.558445994553257
Eclipse IDE,134,118,16,1.5552039857232423,1.5552039857232423
gRPC,52,46,6,1.5513015417463105,1.5513015417463105
MySQL Workbench,2332,2045,287,1.54582608318664,1.54582608318664
Search Marketing,76,67,9,1.5444872053265817,1.5444872053265817
University Teaching,230,56,174,-1.5440326974354952,1.5440326974354952
Alternative Investments,108,95,13,1.540087968096893,1.540087968096893
IBM SPSS Modeler,270,66,204,-1.5397146217664561,1.5397146217664561
Architectural Leadership,54,13,41,-1.5393523357376768,1.5393523357376768
Photo Video Editing,58,14,44,-1.5376891336910736,1.5376891336910736
Gentoo Linux,2738,2398,340,1.5358351014071436,1.5358351014071436
Corporate Analysis,27,24,3,1.5295615551099049,1.5295615551099049
Engineering Science,49,12,37,-1.5149608826135177,1.5149608826135177
Social Services,25,6,19,-1.5149608826135177,1.5149608826135177
Intercultural Communication,45,11,34,-1.5149608826135177,1.5149608826135177
Training Delivery,25,6,19,-1.5149608826135177,1.5149608826135177
Stem Cell Biology,148,37,111,-1.5060322518692164,1.5060322518692164
Software Design Documents,42,37,5,1.5032442467925318,1.5032442467925318
PHP Frameworks,1152,1005,147,1.5030634394874238,1.5030634394874238
Transfer Learning,100,25,75,-1.5018027980360067,1.5018027980360067
Retail Customer Service,76,19,57,-1.4977190761790116,1.4977190761790116
Azure Synapse Analytics,34,30,4,1.4973006928916845,1.4973006928916845
Laboratory Skills,241,61,180,-1.4930421969058716,1.4930421969058716
Arcgis Products,56,14,42,-1.4917040204492507,1.4917040204492507
English Grammar,48,12,36,-1.4879322102255976,1.4879322102255976
Representational State Transfer,26,23,3,1.4878888587093373,1.4878888587093373
Information Technology Management,26,23,3,1.4878888587093373,1.4878888587093373
PeopleSoft Project Portfolio Management,26,23,3,1.4878888587093373,1.4878888587093373
Legal Research Skills,570,146,424,-1.4802351712396877,1.4802351712396877
Computer Literacy,63,16,47,-1.4737179240794687,1.4737179240794687
Nonprofit Communications,148,38,110,-1.4707058736094774,1.4707058736094774
Software Application Development,3026,2628,398,1.470112528083825,1.470112528083825
iOS Development,162,141,21,1.4678981880042667,1.4678981880042667
Social Media Outreach,93,24,69,-1.459002228965474,1.459002228965474
Agile Project Management,2538,2201,337,1.458980120937816,1.458980120937816
Quantitative Research Methodologies,66,17,49,-1.4561203825905835,1.4561203825905835
Software Development Life Cycle,205,178,27,1.4540540026017599,1.4540540026017599
External Auditing,25,22,3,1.4444037467695985,1.4444037467695985
Android Software Development,151,131,20,1.442233371528049,1.442233371528049
Interest Rate Derivatives,232,201,31,1.4394532416097423,1.4394532416097423
Android Development,91,79,12,1.4336797834066228,1.4336797834066228
Classroom Instruction,31,8,23,-1.43328285159925,1.43328285159925
Polymer Science,61,16,45,-1.4307005389957776,1.4307005389957776
Lua,32,28,4,1.4294780965529235,1.4294780965529235
Internal Audit Best Practices,32,28,4,1.4294780965529235,1.4294780965529235
C#,2466,2129,337,1.4257283851052756,1.4257283851052756
Go,419,362,57,1.4248909325460168,1.4248909325460168
Technical Report Writing,42,11,31,-1.4239891044077906,1.4239891044077906
Instructure Canvas,27,7,20,-1.421870459547506,1.421870459547506
Environmental Engineering,27,7,20,-1.421870459547506,1.421870459547506
Fine Art,27,7,20,-1.421870459547506,1.421870459547506
Proofreading,68,18,50,-1.4205511981424435,1.4205511981424435
Xcode,75,65,10,1.41432629153232,1.41432629153232
Hotel Asset Management,46,40,6,1.4131512032654934,1.4131512032654934
Community Engagement,97,26,71,-1.408901310653194,1.408901310653194
Commercial Banking,89,77,12,1.408200698105638,1.408200698105638
Organizational Change Management,53,46,7,1.4082006981056372,1.4082006981056372
Platform Strategy,60,52,8,1.4043984121558992,1.4043984121558992
Image Editing,34,9,25,-1.4037352475032936,1.4037352475032936
Scientific Data Management,34,9,25,-1.4037352475032936,1.4037352475032936
Google Workspace,34,9,25,-1.4037352475032936,1.4037352475032936
Working with Children Ages 05,78,21,57,-1.400080606615096,1.400080606615096
Prototype JavaScript Framework,3260,2801,459,1.3914227312641894,1.3914227312641894
Embedded Software Programming,2101,1805,296,1.3901970283343241,1.3901970283343241
Clinical Research Ethics,30,8,22,-1.3897977396595111,1.3897977396595111
Questionnaire Design,30,8,22,-1.3897977396595111,1.3897977396595111
Conflict Mediation,30,8,22,-1.3897977396595111,1.3897977396595111
Public Policy Research,325,89,236,-1.3880581765965858,1.3880581765965858
Biotechnology Industry,121,33,88,-1.3878057071282717,1.3878057071282717
Strategy Execution,122,105,17,1.380161478041245,1.380161478041245
AngularJS,129,111,18,1.3799052648704864,1.3799052648704864
Survey Data Analysis,37,10,27,-1.3791593414544563,1.3791593414544563
Inmemory Database,255,219,36,1.3776913779813724,1.3776913779813724
Journalism Education,26,7,19,-1.3718600389728444,1.3718600389728444
Multicultural Team Management,62,17,45,-1.3718600389728435,1.3718600389728435
Journalistic Writing,33,9,24,-1.3637299128895943,1.3637299128895943
Complex Accounting,44,38,6,1.3625074704467384,1.3625074704467384
Financial Auditing,30,26,4,1.3567187422704947,1.3567187422704947
Materials Science,79,22,57,-1.3546182325383382,1.3546182325383382
Dependency Management,544,465,79,1.3510064811114275,1.3510064811114275
Office Administration,61,17,44,-1.3496369021881334,1.3496369021881334
Administrative,75,21,54,-1.3464963604809892,1.3464963604809892
Discrete Event Simulation,29,8,21,-1.3443353655827543,1.3443353655827543
HTML Components,3195,2726,469,1.3427571217723906,1.3427571217723906
Git Flow,2030,1732,298,1.3422022042859936,1.3422022042859936
Project Outcomes,36,10,26,-1.3421180697741075,1.3421180697741075
Swift Messaging,84,72,12,1.3415093236069655,1.3415093236069655
Trade Finance,50,43,7,1.3415093236069655,1.3415093236069655
AutoCAD DXF,92,26,66,-1.3364058086150399,1.3364058086150399
Object-Oriented CSS,300,256,44,1.335290881493222,1.335290881493222
Amazon Elasticsearch Service,36,31,5,1.3288908596477542,1.3288908596477542
Litigation Strategy,32,9,23,-1.3220572164890259,1.3220572164890259
Drug Discovery,25,7,18,-1.3192163054874229,1.3192163054874229
Virtual Classroom,25,7,18,-1.3192163054874229,1.3192163054874229
Legal Document Preparation,25,7,18,-1.3192163054874229,1.3192163054874229
Oracle Database Vault,29,25,4,1.3182524614426985,1.3182524614426985
Vim,29,25,4,1.3182524614426985,1.3182524614426985
Java XML,1208,1027,181,1.317279698720076,1.317279698720076
Application Development,42,36,6,1.309161489741446,1.309161489741446
Teacher Mentoring,42,12,30,-1.308346633250518,1.308346633250518
Community Outreach,1270,369,901,-1.3082578962005236,1.3082578962005236
Volunteer Management,121,35,86,-1.3069603114018715,1.3069603114018715
Kotlin,167,142,25,1.3043149535989165,1.3043149535989165
Manual Data Entry,141,41,100,-1.3008128942078865,1.3008128942078865
Day Trading,127,108,19,1.2999871134654057,1.2999871134654057
Public Health Research,28,8,20,-1.2967073165934995,1.2967073165934995
Multiple Project Coordination,28,8,20,-1.2967073165934995,1.2967073165934995
jQuery UI,813,689,124,1.295312387383186,1.295312387383186
Higher Education Administration,79,23,56,-1.29358881094769,1.29358881094769
Sme Banking,61,52,9,1.2931727770456751,1.2931727770456751
Oracle WebLogic,61,52,9,1.2931727770456751,1.2931727770456751
Bootstrap,100,85,15,1.2913277580721054,1.2913277580721054
Ruby on Rails,113,96,17,1.290993533470064,1.290993533470064
Public Policy,38,11,27,-1.2881875632487292,1.2881875632487292
Administrative Training,38,11,27,-1.2881875632487292,1.2881875632487292
Event Planning,278,82,196,-1.2842127319140886,1.2842127319140886
Social Media Intelligence,75,22,53,-1.2825149386369947,1.2825149386369947
Computational Neuroscience,31,9,22,-1.278572104549287,1.278572104549287
Documentary Research,31,9,22,-1.278572104549287,1.278572104549287
Peer Mediation,31,9,22,-1.278572104549287,1.278572104549287
SPSS Modeler,41,12,29,-1.2750102129829264,1.2750102129829264
Educational Fundraising,201,60,141,-1.266004945991904,1.266004945991904
Youth Development,34,10,24,-1.263646454332612,1.263646454332612
Public Relations Skills,167,50,117,-1.2608135912483074,1.2608135912483074
Protein Biochemistry,498,150,348,-1.2560237399570564,1.2560237399570564
Government Proposal Writing,57,17,40,-1.2554496871284329,1.2554496871284329
Linux Console,59,50,9,1.2543329437294117,1.2543329437294117
Spring Integration,40,34,6,1.2528085531903148,1.2528085531903148
Project Coordination,37,11,26,-1.2511462915683804,1.2511462915683804
Cascading Style Sheets,2897,2437,460,1.2500667532312328,1.2500667532312328
Institutional Banking,46,39,7,1.2450490574194033,1.2450490574194033
