skill,users,target_users,non_target_users,log_odds_target,abs_log_odds
Geotechnical Engineering,42,1,41,-3.7364857428266482,3.7364857428266482
Water Engineering,40,1,39,-3.6870929874970715,3.6870929874970715
Opinion Writing,40,1,39,-3.6870929874970715,3.6870929874970715
Pharmaceutical Science,66,2,64,-3.6666319156257314,3.6666319156257314
Patient Communications,119,4,115,-3.661450556883733,3.661450556883733
Natural Science,65,2,63,-3.6510065977226507,3.6510065977226507
Cancer Research,168,6,162,-3.6351332485663606,3.6351332485663606
Science Literacy,38,1,37,-3.63513324856636,3.63513324856636
Clinical Research,38,1,37,-3.63513324856636,3.63513324856636
Custom Backend,28,28,0,3.6267938441363903,3.6267938441363903
Oncology Nursing,62,2,60,-3.602610056860801,3.602610056860801
Cellular Neuroscience,34,1,33,-3.5223377544210166,3.5223377544210166
Phlebotomy,34,1,33,-3.5223377544210166,3.5223377544210166
Biological Science,34,1,33,-3.5223377544210166,3.5223377544210166
Big 4,25,25,0,3.515568209026166,3.515568209026166
Science Communication,193,8,185,-3.4992461422493792,3.4992461422493792
Aviation Operations,56,2,54,-3.498167393493203,3.498167393493203
Vital Signs,33,1,32,-3.4920324049256877,3.4920324049256877
Medical Communications,32,1,31,-3.4607798614215826,3.4607798614215826
Medical Terminology,118,5,113,-3.4433121683811923,3.4433121683811923
Transmission Electron Microscopy,31,1,30,-3.4285189992033613,3.4285189992033613
Healthcare Management,467,22,445,-3.4019393613986497,3.4019393613986497
Human Immunology,30,1,29,-3.3951825789357697,3.3951825789357697
Chemistry Teaching,89,4,85,-3.3606964028646003,3.3606964028646003
Family Mediation,88,4,84,-3.3489315612850135,3.3489315612850135
Construction Management Software,67,3,64,-3.3301596790045185,3.3301596790045185
Synthetic Chemistry,28,1,27,-3.324978320262521,3.324978320262521
Laboratory Management System,28,1,27,-3.324978320262521,3.324978320262521
Fluorescence Microscopy,103,5,98,-3.301565879637778,3.301565879637778
Pediatric Emergency Medicine,45,2,43,-3.272727629918643,3.272727629918643
Planetary Science,357,19,338,-3.270367050480788,3.270367050480788
Rna Isolation,26,1,25,-3.249470767754376,3.249470767754376
Pharmaceutical Microbiology,26,1,25,-3.249470767754376,3.249470767754376
Technical Research,95,5,90,-3.2168591821656154,3.2168591821656154
Behavioral Healthcare,60,3,57,-3.2152794030060967,3.2152794030060967
CPR Certified,303,17,286,-3.2117950789234855,3.2117950789234855
Atomic Spectroscopy,25,1,24,-3.209465433140677,3.209465433140677
Praxis EMR,42,2,40,-3.2012686659364986,3.2012686659364986
Molecular Biology,678,39,639,-3.2006433728099815,3.2006433728099815
Clinical Research Protocols,74,4,70,-3.1677927367401084,3.1677927367401084
Epidemiology of Cancer,57,3,54,-3.16169515687199,3.16169515687199
