skill,users,popular_users,nonpopular_users,popular_rate,log_odds_popular,abs_log_odds
luxury brand marketing,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
disaster response,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
soccer coaching,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
biomedical research,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
creative ideation,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
return on marketing investment,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
flexible manufacturing cells,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
guided tours,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
project quality assurance,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
sports analytics,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
trunks integrated record keeping systems,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
docker swarm,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
confocal laser scanning microscopy,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
institutional cooking,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
personal assistance,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
dance instruction,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
food service procedures,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
english communication,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
governmental affairs,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
private equity,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
front to back office,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
marketing education,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
interactive web design,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
vr,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
brand management,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
new home sales,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
political management,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
short sales,22,1,21,0.045454545454545456,-0.7502178616492365,0.7502178616492365
construction project management,83,5,78,0.060240963855421686,-0.7459805671737216,0.7459805671737216
institutional sales,39,9,30,0.23076923076923078,0.7459350803693452,0.7459350803693452
tax consulting,39,9,30,0.23076923076923078,0.7459350803693452,0.7459350803693452
blockchain security,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
selective soldering,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
selenium webdriver,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
hardware testing,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
semiconductor device fabrication,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
electronics technology,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
ansible,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
revenue management,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
computer networking,56,13,43,0.23214285714285715,0.7422987127259608,0.7422987127259608
product innovation,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
concurrent programming,18,4,14,0.2222222222222222,0.7422987127259608,0.7422987127259608
customer satisfaction research,311,20,291,0.06430868167202572,-0.7422451542699684,0.7422451542699684
requirements management,37,2,35,0.05405405405405406,-0.7408719992309996,0.7408719992309996
fellow of the healthcare financial management association,37,2,35,0.05405405405405406,-0.7408719992309996,0.7408719992309996
wireless communications,37,2,35,0.05405405405405406,-0.7408719992309996,0.7408719992309996
accounting research,37,2,35,0.05405405405405406,-0.7408719992309996,0.7408719992309996
product design reviews,37,2,35,0.05405405405405406,-0.7408719992309996,0.7408719992309996
live event production,37,2,35,0.05405405405405406,-0.7408719992309996,0.7408719992309996
