company_name,rcid,top_first_job_count,latest_profile_count_proxy,in_excel_popular_list,excel_industry,hq_state,suggested_bucket,suggested_action,confidence,manual_decision,notes
L.E.K. Consulting Group Ltd.,,0,0,0,,,consulting,review,medium,1,consulting keyword: \bconsult
Fulbright Association,,0,0,0,,,other_or_review,review,low,0,no rule match
"Lazard, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
"CRA International, Inc.",,0,0,0,,,other_or_review,review,low,0,no rule match
Center for Advanced Retinal & Ocular Therapies,,0,0,0,,,other_or_review,review,low,0,no rule match
Publicis Groupe SA,,0,0,0,,,other_or_review,review,low,0,no rule match
Paramount Skydance Corp.,,0,0,0,,,other_or_review,review,low,0,no rule match
University of Oxford,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
University of Virginia,,0,0,0,,,exclude,review,high,0,exclude pattern: \buniversity\b
Dataannotation Tech,,0,0,0,,,other_or_review,review,low,0,no rule match
"Merck & Co., Inc.",,0,0,0,,,other_or_review,review,high,0,exact mapping
"Huron Consulting Group, Inc.",,0,0,0,,,consulting,review,high,1,exact mapping
Johnson & Johnson,,0,0,0,,,other_or_review,review,high,0,exact mapping
"Mizuho Financial Group, Inc.",,0,0,0,,,finance,review,high,1,exact mapping
Stealth Startup,,0,0,0,,,other_or_review,review,high,0,exact mapping
Texas Instruments Incorporated,,0,0,0,,,tech,review,high,1,exact mapping
University of Cambridge,,0,0,0,,,exclude,review,high,0,exact mapping
ASML Holding NV,,0,0,0,,,tech,review,high,1,exact mapping
Davis Polk & Wardwell LLP,,0,0,0,,,other_or_review,review,high,0,exact mapping
Government of Singapore,,0,0,0,,,exclude,review,high,0,exact mapping
Moelis & Co.,,0,0,0,,,finance,review,high,1,exact mapping
Perella Weinberg Partners,,0,0,0,,,finance,review,high,1,exact mapping
The Toronto-Dominion Bank,,0,0,0,,,finance,review,medium,1,finance keyword: \bbank\b
"United Airlines Holdings, Inc.",,0,0,0,,,other_or_review,review,high,0,exact mapping
Aon Plc,,0,0,0,,,consulting,review,high,1,exact mapping
Boston University,,0,0,0,,,exclude,review,high,0,exact mapping
Eli Lilly & Co.,,0,0,0,,,other_or_review,review,low,0,no rule match
HRT Capital LLC,,0,0,0,,,finance,review,medium,1,finance keyword: \bcapital\b
McMaster-Carr Supply Co.,,0,0,0,,,other_or_review,review,high,0,exact mapping
"Scale AI, Inc.",,0,0,0,,,tech,review,high,1,exact mapping
Bridgewater Associates Holdings LLC,,0,0,0,,,other_or_review,review,low,1,no rule match
"Dana-Farber Cancer Institute, Inc.",,0,0,0,,,exclude,review,high,0,exclude pattern: \binstitute\b
"Raymond James Financial, Inc.",,0,0,0,,,finance,review,medium,1,finance keyword: \bfinancial\b
