employer_name,users,top_major,top_school,cum_share_of_nonmissing_unreviewed,suggested_bucket,confidence,notes,manual_decision
Trinity Partners LLC,17,Missing,Dartmouth College,0.8606632888070014,finance,medium,finance keyword: \bpartners\b,1
Unilever Plc,17,Missing,Cornell University,0.8645785352372178,other_or_review,low,no rule match,0
Willkie Farr & Gallagher LLP,17,Missing,Northwestern University,0.8684937816674344,other_or_review,low,no rule match,0
Appian Corp.,16,Engineering,Duke University,0.8721787194841087,other_or_review,low,no rule match,0
"Dell Technologies, Inc.",16,Engineering,University of Michigan,0.8758636573007831,tech,medium,tech keyword: \btechnolog,1
"FactSet Research Systems, Inc.",16,Engineering,University of Michigan,0.8795485951174574,tech,medium,tech keyword: \bsystems?\b,0
Michigan State University,16,Missing,University of Michigan,0.8832335329341318,exclude,high,exclude pattern: \buniversity\b,0
Mit Electrical Engineering & Computer Science Department,16,Engineering,Massachusetts Institute of Technology,0.8869184707508061,other_or_review,low,no rule match,0
"PayPal Holdings, Inc.",16,Engineering,University of California Berkeley,0.8906034085674804,other_or_review,low,no rule match,1
"Regeneron Pharmaceuticals, Inc.",16,Engineering,Cornell University,0.8942883463841548,other_or_review,low,no rule match,0
SFS Holding Corp.,16,Missing,University of Michigan,0.8979732842008291,other_or_review,low,no rule match,0
Société Générale SA,16,Missing,Columbia University in the City of New York,0.9016582220175035,other_or_review,low,no rule match,0
Thayer School of Engineering At Dartmouth,16,Engineering,Dartmouth College,0.9053431598341778,exclude,high,exclude pattern: \bschool\b,0
Trinity Health Corp.,16,Missing,University of Michigan,0.9090280976508521,exclude,high,exclude pattern: \bhealth\b,0
University of Minnesota,16,Missing,Cornell University,0.9127130354675265,exclude,high,exclude pattern: \buniversity\b,0
"APHC, Inc.",15,Engineering,University of Michigan,0.9161676646706587,other_or_review,low,no rule match,0
AstraZeneca PLC,15,Engineering,University of Michigan,0.9196222938737909,other_or_review,low,no rule match,0
"BVH, Inc.",15,Engineering,University of Michigan,0.9230769230769231,other_or_review,low,no rule match,0
Boston College,15,Missing,Stanford University,0.9265315522800552,exclude,high,exclude pattern: \bcollege\b,0
"CBRE Group, Inc.",15,Missing,Northwestern University,0.9299861814831875,other_or_review,low,no rule match,0
"Hyundai Motor Co., Ltd.",15,Engineering,University of Michigan,0.9334408106863197,other_or_review,low,no rule match,0
Imperial College London,15,Engineering,University of California Berkeley,0.9368954398894519,exclude,high,exclude pattern: \bcollege\b,0
"Leidos Holdings, Inc.",15,Engineering,University of Michigan,0.9403500690925841,other_or_review,low,no rule match,0
Pinault Francois Family,15,Missing,Columbia University in the City of New York,0.9438046982957162,other_or_review,low,no rule match,0
Purdue University,15,Engineering,Massachusetts Institute of Technology,0.9472593274988484,exclude,high,exclude pattern: \buniversity\b,0
The Urban Institute,15,Missing,Rice University,0.9507139567019807,exclude,high,exclude pattern: \binstitute\b,0
United States Attorney's Office,15,Missing,Columbia University in the City of New York,0.9541685859051129,other_or_review,low,no rule match,0
University of Arizona,15,Missing,University of Notre Dame,0.957623215,exclude,high,exclude pattern: \buniversity\b,0
"University of California, Irvine",15,Missing,University of California Berkeley,0.9610778443113772,exclude,high,exclude pattern: \buniversity\b,0
"Upwork, Inc.",15,Missing,University of California Berkeley,0.9645324735145094,other_or_review,low,no rule match,0
Acumen LLC,14,Missing,Duke University,0.9677567941040995,other_or_review,low,no rule match,0
"Asana, Inc.",14,Engineering,Cornell University,0.9709811146936895,other_or_review,low,no rule match,0
"Beacon Health System, Inc.",14,Missing,University of Michigan,0.9742054352832796,exclude,high,exclude pattern: \bhealth\b,0
ByteDance Ltd. (Cayman Islands),14,Engineering,University of Michigan,0.9774297558728696,other_or_review,low,no rule match,1
"CDM Smith, Inc.",14,Engineering,Massachusetts Institute of Technology,0.9806540764624597,other_or_review,low,no rule match,0
Cedars-Sinai Health System,14,Missing,University of California Berkeley,0.9838783970520497,exclude,high,exclude pattern: \bhealth\b,0
Chubb Ltd.,14,Missing,Brown University,0.9871027176416398,other_or_review,low,no rule match,0
"DaVita, Inc.",14,Missing,University of Notre Dame,0.9903270382312298,other_or_review,low,no rule match,0
Duke University School of Law,14,Missing,Duke University,0.9935513588208199,exclude,high,exclude pattern: \buniversity\b,0
"Equinox Holdings, Inc.",14,Missing,University of Michigan,0.9967756794104099,other_or_review,low,no rule match,0
"Expedia Group, Inc.",14,Engineering,University of California Berkeley,1,other_or_review,low,no rule match,1
